titel;artiest;jaar;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
All Out Of Love;Air Supply;1980;832;777;825;769;922;894;1010;1311;853;953;1541;1405;1672;0;0;0
Let's Stay Together;Al Green;1971;0;0;0;0;0;0;0;1200;826;1702;1347;1071;1132;1122;1133;1394
Roof Garden;Al Jarreau;1982;486;455;395;384;641;613;621;740;390;539;1104;801;996;1346;1486;1440
Spanish Eyes;Al Martino;1966;1052;0;1030;820;1105;889;881;1088;601;825;0;1648;0;0;0;0
Volare;Al Martino;1976;1287;942;948;1240;1615;1418;1306;1814;1338;1451;0;0;0;0;0;0
Year Of The Cat;Al Stewart;1977;71;60;36;55;63;77;83;127;78;79;198;169;241;358;380;414
On The Border;Al Stewart;1977;602;320;197;189;298;360;374;435;339;342;859;564;859;1128;1354;1435
Father And Friend;Alain Clark;2008;0;0;0;0;0;0;0;0;0;0;153;94;156;345;387;484
Blow Me Away;Alain Clark;2008;0;0;0;0;0;0;0;0;0;0;1737;0;0;0;0;0
Love Is Everywhere;Alain Clark;2010;0;0;0;0;0;0;0;0;0;0;0;959;0;0;0;0
I Put A Spell On You;Alan Price Set;1966;0;0;0;0;715;662;764;997;751;833;1461;1069;1481;0;0;0
Simon Smith & The Amazing Dancing Bear;Alan Price Set;1967;1956;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The House That Jack Built;Alan Price Set;1967;1963;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ironic;Alanis Morissette;1995;0;0;0;0;0;0;0;0;234;1259;1208;572;536;642;651;661
You Oughta Know;Alanis Morissette;1995;0;0;0;0;0;0;0;0;0;0;1244;1168;1061;975;1040;990
Thank You;Alanis Morissette;1998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1487
Black Velvet;Alannah Myles;1990;0;549;510;593;651;742;941;1072;760;786;1739;1428;1280;1239;1413;1392
I Don't Wanna Die In An Air Disaster;Albert Hammond;1974;901;1029;441;692;688;610;740;847;668;682;1158;924;1394;0;0;0
I'm A Train;Albert Hammond;1974;1004;0;632;703;900;860;947;1241;1411;1073;1709;1303;1402;0;0;0
It Never Rains In Southern California;Albert Hammond;1972;1368;0;529;898;1123;1022;1016;1456;995;1121;0;1489;1974;0;0;0
The Free Electric Band;Albert Hammond;1973;725;558;449;497;549;563;620;788;618;617;1204;841;1109;1808;1868;0
Luna;Alessandro Safina;2000;0;0;172;235;210;351;405;670;415;406;1245;1196;1012;1447;1770;1774
Oh Lori;Alessi Brothers;1977;989;1574;722;1084;1422;1272;1516;1675;1577;1465;0;1961;0;0;0;0
To Make My Life Beautiful;Alex Harvey;1972;448;359;305;268;453;472;446;617;385;440;1117;858;1285;1720;0;0
Guus;Alexander Curly;1975;1304;905;1098;1162;1354;1335;1349;1738;1264;1383;0;0;0;0;0;0
I'll Never Drink Again;Alexander Curly;1972;0;1217;943;1263;1469;1123;1539;1842;1211;1401;0;0;0;0;0;0
Happiness;Alexis Jordan;2011;0;0;0;0;0;0;0;0;0;0;0;0;715;856;1508;0
Halo Of Flies;Alice Cooper;1973;63;24;19;21;35;39;57;78;56;51;91;85;109;167;191;209
Poison;Alice Cooper;1989;0;0;0;0;0;0;0;0;0;0;0;0;1893;490;390;433
How You Gonna See Me Now;Alice Cooper;1979;142;136;91;128;168;132;166;289;170;163;414;248;368;711;626;603
School's Out;Alice Cooper;1972;319;124;119;125;156;148;208;338;209;191;417;334;353;645;649;788
Elected;Alice Cooper;1972;0;537;583;687;574;629;809;996;894;772;1332;1052;1271;1618;1777;0
Hello Hooray;Alice Cooper;1973;0;1322;0;1445;1374;1218;1494;1561;1480;1466;1975;1833;0;0;0;0
