titel;artiest;jaar;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Gravity;John Mayer;2006;0;0;0;0;0;0;0;0;0;0;0;0;0;635;330;575
Slowdancing In A Burning Room;John Mayer;2006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1729;712
Heartbreak Warfare;John Mayer;2010;0;0;0;0;0;0;0;0;0;0;0;379;612;831;725;1032
Waiting On The World To Change;John Mayer;2006;0;0;0;0;0;0;0;0;0;0;871;1198;539;824;564;1082
Who Says;John Mayer;2009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1575
Perfectly Lonely;John Mayer;2010;0;0;0;0;0;0;0;0;0;0;0;0;0;1617;1202;1805
Shadow Days;John Mayer;2012;0;0;0;0;0;0;0;0;0;0;0;0;0;1865;1852;0
Half Of My Heart;John Mayer & Taylor Swift;2010;0;0;0;0;0;0;0;0;0;0;0;811;1327;864;986;1557
Music;John Miles;1976;19;39;32;37;36;67;75;65;76;56;111;122;123;113;129;116
Love me again;John Newman;2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1605
St. Elmo's Fire (Man In Motion);John Parr;1985;1586;0;1326;0;0;0;0;0;0;0;0;0;0;0;0;0
Love Is In The Air;John Paul Young;1977;1663;1848;1935;1950;0;1966;0;0;0;0;0;0;0;0;0;0
If I Only Had Time;John Rowles;1968;1484;0;0;1953;0;0;0;0;0;0;0;0;0;0;0;0
Greased Lightning;John Travolta;1978;0;1168;1500;1473;1735;1463;1711;1502;0;1815;0;0;0;0;0;0
Sandy;John Travolta;1978;0;1739;1683;0;0;0;0;0;0;0;0;0;0;0;0;0
Summer Nights;John Travolta & Olivia Newton John;1978;0;767;1170;1459;1599;1453;1807;1685;0;1838;0;0;0;0;0;0
You're The One That I Want;John Travolta & Olivia Newton John;1978;306;474;812;876;1293;1045;1290;1095;1866;1233;1816;1938;0;1835;0;0
Missing You;John Waite;1984;0;1569;1963;0;0;0;0;0;0;0;0;0;0;0;0;0
Hey Mal Yo;Johnny & Orquestra Rodrigues;1975;0;0;1998;0;0;883;0;0;0;0;0;0;0;0;0;0
Red River Rock;Johnny & the Hurricanes;1960;1571;1856;0;222;1362;1834;0;0;0;0;0;0;0;0;0;0
Hang On In There Baby;Johnny Bristol;1974;1800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hurt;Johnny Cash;2003;0;0;0;0;0;0;0;0;0;0;168;118;43;29;17;29
Ring Of Fire;Johnny Cash;1963;1136;0;1058;1103;682;555;658;325;386;451;269;228;199;195;199;258
A Boy Named Sue;Johnny Cash;1969;1471;0;1296;1408;619;743;961;640;676;707;526;441;406;216;326;467
A Thing Called Love;Johnny Cash;1972;1325;1240;1299;1642;842;1420;1474;1100;945;1108;1390;1063;1040;698;862;1199
A Real Mother For Ya ;Johnny Guitar Watson;1977;824;1089;1541;1104;992;988;1390;1600;1390;1309;1372;1182;1441;963;1184;1489
Pour Moi La Vie Va Commencer;Johnny Hallyday;1963;1381;1459;1126;1633;1115;1506;1627;1344;1648;1441;0;0;0;0;0;0
Turn Back The Clock;Johnny Hates Jazz;1988;1893;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Shakin' All Over;Johnny Kidd & the Pirates;1960;1844;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sophietje;Johnny Lion;1965;1781;1742;1937;0;1547;1305;0;0;0;0;0;0;0;0;0;0
Hold Me Now;Johnny Logan;1987;1302;1378;1612;0;0;0;1614;0;0;0;0;0;0;0;0;0
What's Another Year;Johnny Logan;1980;1123;1233;0;1924;1844;0;1649;928;0;1813;0;0;0;0;0;0
Too Much, Too Little, Too Late;Johnny Mathis & Deniece Williams;1978;1843;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tears On My Pillow;Johnny Nash;1975;1961;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Poetry In Motion;Johnny Tillotson;1961;0;1685;0;0;0;0;0;0;0;0;0;0;0;0;0;0
I'll Find My Way Home;Jon & Vangelis;1982;611;656;400;447;790;709;761;682;1073;738;1150;1159;1240;1278;1333;1479
I Hear You Now;Jon & Vangelis;1980;0;0;885;917;1409;1307;1367;1459;1443;1376;1608;1841;0;1582;0;0
In Your Light;Jon Allen;2009;0;0;0;0;0;0;0;0;0;0;0;0;1228;1784;0;0
Surrender;Jon Anderson;1982;1680;1353;1733;1542;0;0;0;0;0;0;0;0;0;0;0;0
Just Another Day;Jon Secada;1992;768;0;1686;821;1472;0;0;0;0;0;0;0;0;0;0;0
Stop The Cavalry;Jona Lewie;1980;1815;0;1873;0;0;0;0;0;0;0;0;0;0;0;0;0
Happiness;Jonathan Jeremiah;2011;0;0;0;0;0;0;0;0;0;0;0;0;0;1509;1229;1503
Lost;Jonathan Jeremiah;2010;0;0;0;0;0;0;0;0;0;0;0;0;1790;0;0;0
Egyptian Reggae;Jonathan Richman & the Modern Lovers;1977;1686;1432;1927;0;0;1972;0;0;0;0;0;0;0;0;0;0
Big Yellow Taxi;Joni Mitchell;1970;0;1819;1990;1765;1369;1276;1860;1896;1744;1658;1526;1368;1564;1489;1463;1886
Ik Ben Blij Dat Ik Je Niet Vergeten Ben;Joost Nuissl;1975;1121;609;1000;1157;1100;1090;1164;1090;1123;1100;1656;1397;1464;1730;0;0
Che Sara;Jose Feliciano;1971;0;1760;0;0;0;0;0;0;0;0;0;0;0;0;0;0
No Dogs Allowed;Jose Feliciano;1970;1656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Windmills Of Your Mind;Jose Feliciano;1969;1666;0;0;1786;0;1682;1647;1482;0;1946;0;0;0;0;0;0
Jessie;Joshua Kadison;1994;663;796;1266;1222;752;1247;1355;1605;1557;1327;0;1999;1660;1635;1662;1901
Don't Stop Believin';Journey;1981;0;0;0;0;0;0;0;0;0;0;0;0;0;385;251;282
Love Will Tear Us Apart;Joy Division;1980;0;0;0;0;0;0;0;0;1424;0;337;394;294;278;221;305
La Camisa Negra;Juanes;2005;0;0;0;0;0;0;0;903;1420;1781;0;0;0;0;0;0
Stay With Me Till Dawn;Judie Tzuke;1979;1418;0;1789;1850;0;0;0;0;0;0;0;0;0;0;0;0
Send In The Clowns;Judy Collins;1975;1748;0;1871;0;0;0;0;0;0;0;0;0;0;0;0;0
Somewhere Over The Rainbow;Judy Garland;1939;979;1861;1257;1600;1339;1913;1776;0;0;0;0;0;0;0;0;0
Ik Zou Wel Eens Willen Weten...;Jules de Corte;1955;1164;1558;1844;1898;1335;0;0;0;0;0;0;0;0;0;0;0
Geh Nicht In Die Stadt (Heut' Nacht);Juliane Werding;1984;1561;0;1611;0;0;0;0;0;0;0;0;0;0;0;0;0
Stimmen Im Wind;Juliane Werding;1986;1456;0;1109;1825;0;1931;1822;1883;0;0;0;0;0;0;0;0
Don't Cry For Me Argentina;Julie Covington;1977;360;362;1140;1056;1323;1166;731;1094;1214;1040;1744;1733;1915;1747;1659;1945
This Wheel's On Fire;Julie Driscoll & The Brian Auger Trinity;1968;1674;1697;1910;0;0;0;0;0;0;0;0;0;0;0;0;0
The Wedding;Julie Rogers;1964;1984;0;0;0;0;0;583;0;0;0;0;0;0;0;0;0
This Melody;Julien Clerc;1976;1144;0;1498;1158;1321;1245;723;755;1171;951;1314;1520;1372;1752;1639;1804
Ce n'Est Rien;Julien Clerc;1974;0;0;0;0;1893;0;854;1475;0;1910;0;0;0;1945;0;0
Elle Voulait Qu'on l'Appelle Venise;Julien Clerc;1976;0;0;0;0;0;1577;1073;1481;1881;1731;1878;1947;1998;1961;1989;0
Helene;Julien Clerc;1987;0;1714;1741;0;0;1788;1081;1365;0;1876;0;0;0;0;0;0
Ma Préference;Julien Clerc;1978;1297;0;1274;1598;1778;1859;933;1336;1859;1501;1828;0;0;1746;0;0
Si On Chantait;Julien Clerc;1974;0;0;0;0;0;1857;1054;1548;0;1939;0;0;0;0;0;0
Un Canto A Galicia;Julio Iglesias;1972;798;1014;1124;1172;1325;1507;1275;1188;1432;1302;1651;1409;1719;1609;1964;1749
Por Un Poco De Tu Amor;Julio Iglesias;1979;1312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Quiereme Mucho;Julio Iglesias;1979;1076;1396;0;0;0;0;0;1968;0;0;0;0;0;0;0;0
To All The Girls I've Loved Before;Julio Iglesias & Willie Nelson;1984;0;0;0;0;0;0;0;1756;0;0;0;0;0;0;0;0
Wheels;Jumping Jewels;1961;0;1752;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Someone Loves You Honey;June Lodge & Prince Mohammed;1982;1575;1904;1821;0;0;0;0;0;0;0;0;0;0;0;0;0
Mirrors;Justin Timberlake;2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1663;867
Cry Me A River;Justin Timberlake;2002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1462
Black Horse And The Cherry Tree;K.T. Tunstall;2005;0;0;0;0;0;0;0;0;1878;0;1891;1657;1933;0;0;0
Suddenly I see;K.T. Tunstall;2006;0;0;0;0;0;0;0;0;0;0;1939;0;0;0;0;0
Dagen Dat Ik Je Vergeet;Kadanz;1989;0;1165;0;0;0;1843;0;0;0;0;0;0;0;0;0;0
In Het Donker;Kadanz;1983;1479;1270;1609;0;1965;0;0;0;0;0;0;0;0;0;0;0
Intimiteit;Kadanz;1984;0;1035;1168;1149;1380;1718;1939;0;0;0;0;0;0;0;0;0
Ruby;Kaiser Chiefs;2007;0;0;0;0;0;0;0;0;0;0;1039;1275;1208;1284;1198;1320
Too Shy;Kajagoogoo;1983;0;1230;1698;1515;1951;0;0;0;0;0;0;0;0;0;0;0
When;Kalin Twins;1958;1825;1808;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Elephant Song;Kamahl;1975;775;1167;1189;1505;1245;1331;1322;1280;1571;1354;1719;1615;1620;1458;1561;1719
Rain Down On Me;Kane;2002;0;0;0;0;0;0;0;0;908;0;712;599;555;539;546;498
No Surrender;Kane;2009;0;0;0;0;0;0;0;0;0;0;0;178;331;627;690;624
Damn Those Eyes;Kane;1999;0;0;0;0;0;0;0;0;0;0;1081;0;1152;1148;1224;1217
Shot Of A Gun;Kane;2008;0;0;0;0;0;0;0;0;0;0;1740;0;0;0;0;0
Before You Let Me Go;Kane & Ilse DeLange;2003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1711
Closest Thing To Heaven;Kane Gang;1984;0;1704;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dust In The Wind;Kansas;1978;95;183;338;161;127;227;210;221;254;197;311;375;330;250;219;224
Carry On Wayward Son;Kansas;1977;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1817;817
Lambada;Kaoma;1989;731;1446;1912;1937;1713;0;0;0;0;0;0;0;0;0;0;0
Hot Shot;Karen Young;1978;1149;1380;0;1838;1724;1828;0;0;0;0;0;0;0;0;0;0
Geen Kind Meer;Karin Bloemen;1996;197;413;268;254;263;295;197;161;152;177;209;201;316;392;395;388
Zuid-Afrika;Karin Bloemen;1991;0;0;0;0;0;0;1080;531;625;955;915;923;1190;1349;1231;1457
Wuthering Heights;Kate Bush;1978;67;77;96;95;116;93;99;119;111;102;101;102;132;144;164;117
The Man With The Child In His Eyes;Kate Bush;1978;263;304;316;289;209;86;216;240;256;188;184;183;192;251;248;188
Cloudbusting;Kate Bush;1985;0;0;0;0;0;0;767;896;909;1275;661;751;736;496;614;478
Running Up That Hill;Kate Bush;1985;0;639;973;862;742;790;803;939;774;794;722;770;756;675;652;596
Babooshka;Kate Bush;1980;0;1245;0;1321;1290;1267;1406;1433;1500;1413;1366;1422;1448;947;1396;1718
Them Heavy People;Kate Bush;1979;0;0;0;0;1972;0;0;0;0;0;0;0;0;0;0;0
Nine Million Bicycles;Katie Melua;2005;0;0;0;0;0;0;23;32;40;58;119;125;214;379;412;472
The Closest Thing To Crazy;Katie Melua;2004;0;0;0;0;0;1926;72;134;217;225;460;521;873;1121;1079;1244
If You Were A Sailboat;Katie Melua;2007;0;0;0;0;0;0;0;0;101;696;693;716;1079;1479;1431;1773
Piece By Piece;Katie Melua;2005;0;0;0;0;0;0;0;0;667;0;1346;0;1748;0;0;0
Shy Boy;Katie Melua;2007;0;0;0;0;0;0;0;0;1263;0;0;0;0;0;0;0
Spider's Web;Katie Melua;2005;0;0;0;0;0;0;0;0;671;0;1483;0;1932;1843;1827;0
Walking On Sunshine;Katrina & the Waves;1985;1318;1300;1689;1326;1562;1205;1314;1301;1901;1440;1837;1776;0;0;1913;1767
Love Shine A Light;Katrina & the Waves;1997;1167;0;1700;1920;1662;1971;0;1959;0;0;0;0;0;0;0;0
Roar;Katy Perry;2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1654;879
Firework;Katy Perry;2010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1484
Hot N Cold;Katy Perry;2008;0;0;0;0;0;0;0;0;0;0;1746;0;1209;1685;1380;0
I Kissed A Girl;Katy Perry;2008;0;0;0;0;0;0;0;0;0;0;0;0;1666;0;1633;0
Ruthless Queen;Kayak;1979;251;113;110;157;115;147;130;120;142;129;104;108;148;164;170;185
Starlight Dancer;Kayak;1977;1116;720;691;646;696;1074;1034;1170;1629;1093;698;1093;938;1055;1163;1302
Wintertime;Kayak;1974;0;1157;957;1092;1482;1341;1613;1590;0;1779;902;1563;1235;1595;1647;1910
Lyrics;Kayak;1973;0;0;0;0;0;1803;0;1904;0;0;0;0;1785;1986;0;0
Mammoth;Kayak;1973;0;0;0;0;1757;1811;0;0;0;0;1400;0;1973;0;0;0
Get Down Tonight;KC & the Sunshine Band;1975;0;1601;1629;0;0;0;0;0;0;0;0;0;0;0;0;0
I'm Your Boogie Man;KC & the Sunshine Band;1977;0;1441;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Please Don't Go;KC & the Sunshine Band;1979;1411;863;1352;1852;0;1824;1983;1892;0;1991;0;0;0;0;0;0
That's The Way (I Like It);KC & the Sunshine Band;1975;1223;1400;1360;2000;1940;1618;1911;1955;0;1943;0;2000;0;0;0;0
Somewhere Only We Know;Keane;2004;0;0;0;0;0;0;128;152;248;299;319;329;335;268;182;230
Sovereign Light Cafe;Keane;2012;0;0;0;0;0;0;0;0;0;0;0;0;0;700;399;560
Bedshaped;Keane;2004;0;0;0;0;0;0;0;0;0;0;800;0;901;669;561;731
Everybody's Changing;Keane;2004;0;0;0;0;0;0;0;1162;555;1438;750;769;954;901;761;1019
Bend And Break;Keane;2005;0;0;0;0;0;0;0;0;0;0;1331;1225;1204;910;813;1154
Silenced By The Night;Keane;2012;0;0;0;0;0;0;0;0;0;0;0;0;0;1029;942;1312
This Is The Last Time;Keane;2005;0;0;0;0;0;0;0;0;0;0;1261;1420;1612;1480;1302;1700
Is It Any Wonder?;Keane;2006;0;0;0;0;0;0;0;0;0;0;1994;0;0;0;0;0
Excerpt From A Teenage Opera;Keith West;1967;1329;954;1298;1364;1507;1487;1743;0;0;0;0;0;0;0;0;0
Because Of You;Kelly Clarkson;2006;0;0;0;0;0;0;0;0;0;0;1246;1331;1530;1387;1513;1871
Breakaway;Kelly Clarkson;2004;0;0;0;0;0;0;0;0;1397;0;0;0;0;0;0;0
David's Song;Kelly Family;1979;0;435;1363;1235;1863;1640;1682;1706;1765;1641;1992;0;0;1960;1910;1947
Whenever I Call You Friend;Kenny Loggins & Stevie Nicks;1978;1509;1583;1682;1919;0;0;0;0;0;0;0;0;0;0;0;0
Coward Of The County;Kenny Rogers;1980;1728;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ruby, Don't Take Your Love To Town;Kenny Rogers & First Edition;1969;1816;1792;245;1269;1823;1957;0;0;0;0;0;0;0;0;0;0
Home Again;Kensington;2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1860;180
Streets;Kensington;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;581
All For Nothing;Kensington;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1428
Stranger In Blue Suede Shoes;Kevin Ayers;1969;0;1746;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Annie I'm Not Your Daddy;Kid Creole & Coconuts;1982;1833;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
All Summer Long;Kid Rock;2008;0;0;0;0;0;0;0;0;0;0;1440;1305;1212;1045;1210;1343
Starmaker;Kids from Fame;1983;1578;0;1965;0;0;0;0;0;0;0;0;0;0;0;0;0
I've Got The Music In Me;Kiki Dee;1974;1562;1381;1778;1032;1539;1488;1836;1912;1831;1681;0;0;0;0;0;0
Love Like Blood;Killing Joke;1985;0;554;0;0;0;0;0;0;0;0;1227;0;1169;1229;988;947
Bette Davis' Eyes;Kim Carnes;1981;1595;1657;1899;1862;0;0;0;0;0;0;0;0;0;0;0;0
Universal Song;Kim Carnes;1984;1994;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cambodia;Kim Wilde;1981;559;423;513;768;603;919;975;1131;1105;922;1175;1037;1268;1335;1307;1255
Chequered Love;Kim Wilde;1981;0;1058;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kids In America;Kim Wilde;1981;0;728;1614;1930;1211;1134;1101;1576;1746;1409;0;0;0;0;0;0
Never Trust A Stranger;Kim Wilde;1988;0;747;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dreams Are Ten A Penny;Kincade;1973;0;1961;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ik Heb Zo Waanzinnig Gedroomd;Kinderen voor Kinderen;1981;1521;0;1827;1614;1749;1633;1691;1299;1640;1557;1966;0;0;0;0;0
Love And Pride;King;1985;1250;1681;1894;0;1950;1917;0;0;0;0;0;0;0;0;0;0
Starless;King Crimson;1974;0;689;0;0;0;0;0;0;0;0;0;0;0;0;0;1975
Memphis Soul Stew;King Curtis & Kingpins;1967;1870;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sex On Fire;Kings Of Leon;2008;0;0;0;0;0;0;0;0;0;0;0;966;122;122;98;139
Use Somebody;Kings Of Leon;2008;0;0;0;0;0;0;0;0;0;0;1619;491;229;331;262;391
Tom Dooley;Kingston Trio;1959;1675;0;1945;1721;1719;1909;1634;0;0;0;0;0;0;0;0;0
I Was Made For Loving You;Kiss;1979;124;173;205;152;184;166;283;378;479;270;317;390;390;375;348;332
Sure Know Something;Kiss;1979;0;1082;824;926;830;1033;788;1405;1505;1137;1376;1407;1542;1600;1287;1194
A Routine Day;Klaatu;1979;0;686;558;1076;1761;1364;1195;1894;0;1776;0;0;0;0;0;0
Over De Muur;Klein Orkest;1984;32;38;54;50;59;56;48;47;64;52;47;56;83;71;84;60
Laat Mij Maar Alleen;Klein Orkest;1982;0;0;0;0;0;0;0;1838;0;0;1951;1960;0;0;0;0
My Sharona;Knack;1979;1709;0;1744;1700;1509;1918;0;0;0;0;0;0;0;0;0;0
Celebration;Kool & the Gang;1980;800;1312;1238;1602;1557;1663;0;0;0;0;0;0;0;0;0;0
Cherish;Kool & the Gang;1985;1391;1365;1729;1998;0;0;0;0;0;0;0;0;0;0;0;0
Fresh;Kool & the Gang;1985;0;0;0;1968;0;0;0;0;0;0;0;0;0;0;0;0
Joanna;Kool & the Gang;1984;1921;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zijn Het Je Ogen;Koos Alberts;1988;1632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zoek Jezelf;Koot & Bie;1975;812;0;1193;1736;1504;1475;1413;1452;1809;1547;1735;1892;1903;1469;1628;0
Everybody's Got To Learn Sometime;Korgis;1980;1277;1829;1766;1621;1754;1822;1905;0;0;0;0;0;0;0;0;0
Autobahn;Kraftwerk;1975;347;344;357;577;585;484;656;607;872;611;643;737;746;464;452;705
The Model;Kraftwerk;1978;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1588
I Would Stay;Krezip;2000;0;0;327;202;139;386;290;360;249;262;167;251;362;405;426;425
Sweet Goodbyes;Krezip;2009;0;0;0;0;0;0;0;0;0;0;97;163;338;552;688;657
All My Life;Krezip;2008;0;0;0;0;0;0;0;0;0;0;877;1335;1684;1455;0;0
Golden Days;Krystl;2010;0;0;0;0;0;0;0;0;0;0;0;0;1931;0;0;0
Not An Addict;K's choice;1996;0;0;0;0;0;0;0;0;0;0;0;0;0;1972;885;637
Can’t Get You Out Of My Head;Kylie Minogue;2001;0;0;0;0;0;0;0;0;1816;0;0;0;0;0;0;0
Where The Wild Roses Grow;Kylie Minogue & Nick Cave;2002;0;0;0;0;0;0;0;0;1626;0;1497;1369;1350;1096;787;805
Sorry  ;Kyteman;2009;0;0;0;0;0;0;0;0;0;0;1005;156;160;158;148;113
Sukiyaki;Kyu Sakamoto;1963;0;0;0;0;0;0;0;1870;0;0;1662;1533;1609;1679;1680;1622
Voulez Vous Coucher Avec Moi Ce Soir (Lady Marmala;Labelle;1975;1362;1676;1232;1488;1568;0;0;0;0;0;0;0;0;0;0;0
(Something Inside) So Strong;Labi Siffre;1987;475;583;424;626;836;673;734;668;776;684;855;846;878;428;922;815
It Must Be Love;Labi Siffre;1972;1451;0;1823;1638;1983;0;0;0;0;0;0;0;0;0;0;0
Beneath Your Beautiful;Labrinth feat. Emeli Sandé;2012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1442;1280
I'm A Gambler;Lace;1969;1918;1992;0;0;1881;0;0;0;0;0;0;0;0;0;0;0
Need You Now;Lady Antebellum;2010;0;0;0;0;0;0;0;0;0;0;0;210;661;727;955;1020
Bad Romance;Lady Gaga;2009;0;0;0;0;0;0;0;0;0;0;0;0;676;903;1056;1545
Poker Face;Lady Gaga;2009;0;0;0;0;0;0;0;0;0;0;0;0;704;915;1167;1615
Alejandro;Lady Gaga;2010;0;0;0;0;0;0;0;0;0;0;0;0;981;1101;1675;0
Paparazzi;Lady Gaga;2009;0;0;0;0;0;0;0;0;0;0;0;0;1281;1812;0;0
Sunshine Reggae;Laid Back;1983;1749;1800;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Video Games;Lana Del Rey;2011;0;0;0;0;0;0;0;0;0;0;0;0;0;371;465;578
Zing Voor Me;Lange Frans & Thé Lau;2010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1276
Radio Africa;Latin Quarter;1985;0;1576;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Self Control;Laura Branigan;1984;0;1860;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Use Somebody;Laura Jansen;2010;0;0;0;0;0;0;0;0;0;0;0;358;655;1076;1195;1530
Queen Of Elba;Laura Jansen;2012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1669
Single Girls;Laura Jansen;2009;0;0;0;0;0;0;0;0;0;0;0;0;1850;0;0;0
Wicked World;Laura Jansen;2010;0;0;0;0;0;0;0;0;0;0;0;0;1452;1813;0;0
La Solitudine;Laura Pausini;1993;960;0;837;1220;1185;1085;979;1003;1273;1112;1257;1336;1567;1370;1365;1485
Strani Amori;Laura Pausini;1994;0;0;0;0;0;0;0;0;0;0;1822;1792;0;1805;1915;1837
How Do I Live;LeAnn Rimes;1998;0;0;0;1981;0;0;0;0;0;0;0;0;0;0;0;0
Stairway To Heaven;Led Zeppelin;1971;4;3;4;4;4;4;5;5;5;5;4;5;5;3;3;3
Whole Lotta Love;Led Zeppelin;1969;209;120;185;132;93;124;158;192;211;151;93;136;135;91;86;96
Kashmir;Led Zeppelin;1975;0;0;0;0;0;0;0;0;0;0;0;0;0;1032;520;167
Immigrant Song;Led Zeppelin;1971;0;672;0;0;0;0;0;0;0;0;413;446;417;300;351;420
You'll Never Walk Alone;Lee Towers;1976;0;1019;1497;1055;1217;1206;1497;1415;988;1217;1610;1549;1332;1337;1323;1180
Op Een Mooie Pinksterdag;Leen Jongewaard & André van den Heuvel;1967;1067;0;1324;0;1888;0;0;1918;0;0;0;0;0;0;0;0
M'n Opa;Leen Jongewaard & Hetty Blok;1967;0;0;1748;0;0;0;0;0;0;0;0;0;0;0;0;0
I Was Made For Dancing;Leif Garrett;1979;0;1773;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Green Tambourine;Lemon Pipers;1968;0;1885;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Let Love Rule;Lenny Kravitz;1989;0;391;0;614;509;449;683;691;818;637;768;784;829;952;911;725
Are You Gonna Go My Way;Lenny Kravitz;1993;0;0;0;0;0;0;0;0;0;0;908;984;863;830;788;866
Always On The Run;Lenny Kravitz;1991;0;0;0;0;0;0;0;0;0;0;1538;1651;1759;1397;1348;1421
It Ain't Over Till It's Over;Lenny Kravitz;1991;0;0;0;0;0;0;0;0;0;0;1960;1811;1761;0;1795;1679
Fly Away;Lenny Kravitz;1998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1811
I'll Be Waiting;Lenny Kravitz;2008;0;0;0;0;0;0;0;0;0;0;1654;0;1740;1875;1848;0
De Troubadour;Lenny Kuhr;1969;1431;1486;1869;0;1695;1919;1974;1742;1970;1783;0;0;0;0;0;0
Orchard Road;Leo Sayer;1983;805;730;870;1027;872;1000;886;882;1194;942;1266;1559;1535;1791;1865;1858
Long Tall Glasses;Leo Sayer;1974;0;1509;0;1414;0;0;0;0;0;0;0;0;0;0;0;0
When I Need You;Leo Sayer;1977;982;0;1694;1250;1320;1373;1304;1304;1501;1373;1879;0;0;0;0;0
Pittsburg In The Rain;Leon de Graaff;1971;1664;0;1819;0;0;0;0;0;0;0;0;0;0;0;0;0
Hallelujah;Leonard Cohen;1984;0;0;0;0;0;0;0;0;0;0;1838;0;163;142;173;154
Suzanne;Leonard Cohen;1968;390;395;434;400;320;341;392;280;327;320;206;281;326;302;314;320
So Long Marianne;Leonard Cohen;1968;654;894;842;547;473;551;555;474;468;495;265;368;484;471;509;542
Mexico;Les Humphries Singers;1972;1658;1338;1169;1165;1103;1332;1313;1766;1717;1488;0;0;0;0;0;0
To My Father's House;Les Humphries Singers;1970;1786;1476;822;1210;698;1187;1209;1390;1766;1257;1713;1987;0;0;0;0
Man Of Action;Les Reed Orchestra;1970;0;1510;1563;1821;1704;0;0;0;0;0;0;0;0;0;0;0
Lessons In Love;Level 42;1986;617;634;666;700;1129;1240;1412;1270;1868;1312;1595;1358;1411;1526;1375;1047
Love Games;Level 42;1981;596;1449;501;997;1172;1810;1674;1741;1767;1562;1783;1701;1787;1712;1815;1256
It's Over;Level 42;1987;817;0;565;1121;1215;1365;1583;1607;1799;1508;1706;1382;1600;1482;1515;1333
Running In The Family;Level 42;1987;1255;1526;963;1673;1860;0;0;0;0;0;0;0;0;0;0;0
Te Veel Te Vaak;Liesbeth List;1974;0;0;0;0;1732;1819;1762;1572;1637;1725;1910;0;0;0;0;0
High;Lighthouse Family;1998;1019;1101;0;1040;1076;1438;1646;1874;0;1825;0;1944;0;0;0;0
Never Ending Story;Limahl;1984;0;1729;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Blue Bayou;Linda Ronstadt;1977;1044;0;987;1430;1183;901;1117;1010;1177;1089;1478;1459;1701;1661;1761;1932
It's So Easy;Linda Ronstadt;1977;1489;0;1892;329;0;0;0;0;0;0;0;0;0;0;0;0
Don't Know Much;Linda Ronstadt & Aaron Neville;1989;1083;0;1797;0;1931;1793;0;0;0;0;0;0;0;0;0;0
Ademnood;Linda, Roos & Jessica;1995;1596;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
In The End;Linkin Park;2001;0;0;0;0;0;0;0;0;0;0;0;0;0;1100;612;189
Breaking The Habit;Linkin Park;2004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;704
Hello;Lionel Richie;1984;110;267;351;430;480;305;550;489;694;483;666;665;682;753;905;894
